Timestamp,Packet_Size,Src_IP,Dst_IP,Src_Port,Dst_Port,TCP_Flags,App
1740728638.889097,1454,142.250.75.78,192.168.100.93,443,62107,A,Chrome
1740728638.889097,901,142.250.75.78,192.168.100.93,443,62107,PA,Chrome
1740728638.889097,60,142.250.75.78,192.168.100.93,443,62107,FA,Chrome
1740728639.083418,66,192.168.100.93,108.177.15.188,62108,5228,S,Chrome
1740728639.146555,66,108.177.15.188,192.168.100.93,5228,62108,SA,Chrome
1740728639.146652,54,192.168.100.93,108.177.15.188,62108,5228,A,Chrome
1740728639.147761,1785,192.168.100.93,108.177.15.188,62108,5228,PA,Chrome
1740728639.210942,60,108.177.15.188,192.168.100.93,5228,62108,A,Chrome
1740728639.211272,60,108.177.15.188,192.168.100.93,5228,62108,A,Chrome
1740728639.212866,1454,108.177.15.188,192.168.100.93,5228,62108,A,Chrome
1740728639.212866,1454,108.177.15.188,192.168.100.93,5228,62108,PA,Chrome
1740728639.212908,54,192.168.100.93,108.177.15.188,62108,5228,A,Chrome
1740728639.213206,1454,108.177.15.188,192.168.100.93,5228,62108,A,Chrome
1740728639.213206,1454,108.177.15.188,192.168.100.93,5228,62108,PA,Chrome
1740728639.213229,54,192.168.100.93,108.177.15.188,62108,5228,A,Chrome
1740728639.213353,1454,108.177.15.188,192.168.100.93,5228,62108,A,Chrome
1740728639.213353,716,108.177.15.188,192.168.100.93,5228,62108,PA,Chrome
1740728639.213386,54,192.168.100.93,108.177.15.188,62108,5228,A,Chrome
1740728639.215789,118,192.168.100.93,108.177.15.188,62108,5228,PA,Chrome
1740728639.216725,232,192.168.100.93,108.177.15.188,62108,5228,PA,Chrome
1740728639.278317,60,108.177.15.188,192.168.100.93,5228,62108,A,Chrome
1740728639.278375,591,108.177.15.188,192.168.100.93,5228,62108,PA,Chrome
1740728639.287915,143,108.177.15.188,192.168.100.93,5228,62108,PA,Chrome
1740728639.287915,88,108.177.15.188,192.168.100.93,5228,62108,PA,Chrome
1740728639.287972,54,192.168.100.93,108.177.15.188,62108,5228,A,Chrome
1740728640.410901,111,192.168.100.93,74.248.73.245,61721,443,PA,Chrome
1740728640.473043,100,74.248.73.245,192.168.100.93,443,61721,PA,Chrome
1740728640.513743,54,192.168.100.93,74.248.73.245,61721,443,A,Chrome
1740728640.696383,66,192.168.100.93,142.250.75.142,62110,443,S,Chrome
1740728640.706936,66,142.250.75.142,192.168.100.93,443,62110,SA,Chrome
1740728640.707013,54,192.168.100.93,142.250.75.142,62110,443,A,Chrome
1740728640.707921,1874,192.168.100.93,142.250.75.142,62110,443,PA,Chrome
1740728640.718895,60,142.250.75.142,192.168.100.93,443,62110,A,Chrome
1740728640.719801,60,142.250.75.142,192.168.100.93,443,62110,A,Chrome
1740728640.772583,1454,142.250.75.142,192.168.100.93,443,62110,A,Chrome
1740728640.772583,1454,142.250.75.142,192.168.100.93,443,62110,PA,Chrome
1740728640.772669,54,192.168.100.93,142.250.75.142,62110,443,A,Chrome
1740728640.772763,1454,142.250.75.142,192.168.100.93,443,62110,A,Chrome
1740728640.772966,1454,142.250.75.142,192.168.100.93,443,62110,PA,Chrome
1740728640.772966,1454,142.250.75.142,192.168.100.93,443,62110,A,Chrome
1740728640.772995,54,192.168.100.93,142.250.75.142,62110,443,A,Chrome
1740728640.773081,889,142.250.75.142,192.168.100.93,443,62110,PA,Chrome
1740728640.773107,54,192.168.100.93,142.250.75.142,62110,443,A,Chrome
1740728640.773722,128,192.168.100.93,142.250.75.142,62110,443,PA,Chrome
1740728640.782323,60,142.250.75.142,192.168.100.93,443,62110,A,Chrome
1740728640.782323,1012,142.250.75.142,192.168.100.93,443,62110,PA,Chrome
1740728640.799849,66,192.168.100.93,34.96.118.58,62111,443,S,Chrome
1740728640.812143,66,34.96.118.58,192.168.100.93,443,62111,SA,Chrome
1740728640.812214,54,192.168.100.93,34.96.118.58,62111,443,A,Chrome
1740728640.813041,1811,192.168.100.93,34.96.118.58,62111,443,PA,Chrome
1740728640.82318,54,192.168.100.93,142.250.75.142,62110,443,A,Chrome
